mode,struct,phase,count,value_size,cmds_per_s,time_ms,sent_bytes,VmRSS_kB,VmHWM_kB
glibc,array,SET,50000,32,4503.29,11103,3300000,6600,6600
glibc,array,GET,50000,32,5053.06,9895,1350000,6600,6600
glibc,array,DEL,50000,32,26954.18,1855,1350000,6600,6600
glibc,array,MIX,150000,32,35269.22,4253,6000000,6600,6600
glibc,rbtree,SET,50000,32,335570.47,149,3350000,8868,8868
glibc,rbtree,GET,50000,32,609756.10,82,1400000,8868,8868
glibc,rbtree,DEL,50000,32,526315.79,95,1400000,8868,8868
glibc,rbtree,MIX,150000,32,474683.54,316,6150000,10188,10188
glibc,hash,SET,50000,32,16733.60,2988,3350000,7276,7276
glibc,hash,GET,50000,32,20475.02,2442,1400000,7276,7276
glibc,hash,DEL,50000,32,21739.13,2300,1400000,7276,7276
glibc,hash,MIX,150000,32,590551.18,254,6150000,7276,7276
glibc,skiplist,SET,50000,32,85470.09,585,3350000,8972,8972
glibc,skiplist,GET,50000,32,87719.30,570,1400000,8972,8972
glibc,skiplist,DEL,50000,32,476190.48,105,1400000,8972,8972
glibc,skiplist,MIX,150000,32,451807.23,332,6150000,8972,8972
jemalloc,array,SET,50000,32,6149.31,8131,3300000,8016,8016
jemalloc,array,GET,50000,32,6590.22,7587,1350000,8016,8016
jemalloc,array,DEL,50000,32,27070.93,1847,1350000,7644,8132
jemalloc,array,MIX,150000,32,41062.14,3653,6000000,7644,8132
jemalloc,rbtree,SET,50000,32,337837.84,148,3350000,9528,9528
jemalloc,rbtree,GET,50000,32,617283.95,81,1400000,9528,9528
jemalloc,rbtree,DEL,50000,32,476190.48,105,1400000,9640,9640
jemalloc,rbtree,MIX,150000,32,517241.38,290,6150000,10408,10408
jemalloc,hash,SET,50000,32,38343.56,1304,3350000,8804,8804
jemalloc,hash,GET,50000,32,36656.89,1364,1400000,8804,8804
jemalloc,hash,DEL,50000,32,38314.18,1305,1400000,8892,8980
jemalloc,hash,MIX,150000,32,597609.56,251,6150000,8880,8980
jemalloc,skiplist,SET,50000,32,111856.82,447,3350000,9732,9732
jemalloc,skiplist,GET,50000,32,106837.61,468,1400000,9732,9732
jemalloc,skiplist,DEL,50000,32,531914.89,94,1400000,9732,9732
jemalloc,skiplist,MIX,150000,32,526315.79,285,6150000,9732,9732
pool,array,SET,50000,32,4420.48,11311,3300000,7816,7816
pool,array,GET,50000,32,5049.48,9902,1350000,7816,7816
pool,array,DEL,50000,32,27159.15,1841,1350000,7816,7816
pool,array,MIX,150000,32,41701.42,3597,6000000,12304,12304
pool,rbtree,SET,50000,32,367647.06,136,3350000,9736,9736
pool,rbtree,GET,50000,32,649350.65,77,1400000,9736,9736
pool,rbtree,DEL,50000,32,568181.82,88,1400000,9736,9736
pool,rbtree,MIX,150000,32,517241.38,290,6150000,17392,17392
pool,hash,SET,50000,32,21939.45,2279,3350000,8168,8168
pool,hash,GET,50000,32,20458.27,2444,1400000,8168,8168
pool,hash,DEL,50000,32,20333.47,2459,1400000,8168,8168
pool,hash,MIX,150000,32,574712.64,261,6150000,14504,14504
pool,skiplist,SET,50000,32,84745.76,590,3350000,9704,9704
pool,skiplist,GET,50000,32,86505.19,578,1400000,9704,9704
pool,skiplist,DEL,50000,32,515463.92,97,1400000,9704,9704
pool,skiplist,MIX,150000,32,485436.89,309,6150000,17624,17624
